fab,point,time,leak_detection_time_sec,video_path
FAB00,point01,2026-06-02 08:00:00,1,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-02 08:23:00,2,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-02 08:46:00,3,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-02 09:09:00,4,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-02 09:32:00,1,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-02 09:55:00,2,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-02 10:18:00,3,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-02 10:41:00,4,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-02 11:04:00,1,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-02 11:27:00,2,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-02 11:50:00,3,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-02 12:13:00,4,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-02 12:36:00,1,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-02 12:59:00,2,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-02 13:22:00,3,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-02 13:45:00,4,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-02 14:08:00,1,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-02 14:31:00,2,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-02 14:54:00,3,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-02 15:17:00,4,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-02 15:40:00,1,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-02 16:03:00,2,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-02 16:26:00,3,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-02 16:49:00,4,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-02 17:12:00,1,./test_vido_wl/wl_video.mp4
